Image;La2_length;La2_mm;La3_length;La3_mm;La4_length;La4_mm;Ra2_length;Ra2_mm;Ra3_length;Ra3_mm;Ra4_length;Ra4_mm;Body_length;Body_mm
img (170).JPG;100.6604805;0.203187577;111.8438471;0.225761692;151.1668825;0.305136956;95.09978841;0.191963078;142.5292622;0.287701543;137.1493872;0.27684203;1911.28071;3.858003613
;;;;;;;;;;;;;;
img (172).JPG;111.7717752;0.225616211;132.6163503;0.267691897;142.9310951;0.28851266;113.0175238;0.228130809;128.7352978;0.259857823;129.7625607;0.261931398;2069.580893;4.177539448
;;;;;;;;;;;;;;
img (174).JPG;103.9977511;0.209924004;146.328265;0.295369996;155.3177542;0.313515672;113.1146146;0.228326791;145.4675872;0.29363268;141.003195;0.284621109;2064.817779;4.167924895
;;;;;;;;;;;;;;
img (176).JPG;116.7671023;0.235699497;145.7043728;0.294110642;142.2801085;0.287198615;112.8571258;0.227807039;143.1841782;0.289023519;146.4974486;0.2957115;2227.144379;4.495588229
;;;;;;;;;;;;;;
img (178).JPG;108.1561033;0.21831782;158.6599064;0.320261953;149.2179392;0.301202929;110.6878455;0.223428252;137.36249;0.277272187;140.4464377;0.28349727;2193.254008;4.427179033
;;;;;;;;;;;;;;
img (180).JPG;104.8155107;0.211574688;115.6629181;0.233470653;148.2656816;0.299280756;111.0536711;0.224166687;130.4839031;0.263387459;130.5929045;0.263607483;1983.029435;4.002831549
;;;;;;;;;;;;;;
img (182).JPG;92.61099547;0.18693934;140.3191277;0.28324029;127.7480157;0.257864951;87.65192887;0.176929248;144.7976864;0.292280456;131.9867512;0.266421024;1907.691106;3.850757841
;;;;;;;;;;;;;;
img (184).JPG;119.0813854;0.240370979;154.4037958;0.311670807;160.1700928;0.32331033;122.7918442;0.247860702;155.3137843;0.313507659;156.2639304;0.31542557;2292.259749;4.627026449
;;;;;;;;;;;;;;
img (186).JPG;97.38226605;0.196570358;120.7378557;0.243714637;119.0917137;0.240391827;99.12770173;0.200093597;123.7081188;0.249710242;119.9895279;0.242204104;1848.306798;3.73088802
;;;;;;;;;;;;;;
img (188).JPG;115.9643636;0.234079134;142.3512629;0.287342243;154.6824488;0.312233281;111.0801741;0.224220184;143.8024672;0.290271562;142.9309364;0.28851234;2083.668034;4.205974957
;;;;;;;;;;;;;;
