Image,La2_length,La2_mm,La3_length,La3_mm,La4_length,La4_mm,Ra2_length,Ra2_mm,Ra3_length,Ra3_mm,Ra4_length,Ra4_mm,Body_length,Body_mm
img (1081).JPG,,,,,,,,,,,,,2074.132502,4.111149545
,,,,,,,,,,,,,,
img (1083).JPG,101.9084984,0.2019934,132.1549734,0.261945106,139.6874239,0.276875218,99.94217287,0.198095936,129.5449543,0.256771773,136.2244961,0.27001133,2182.052595,4.325058561
,,,,,,,,,,,,,,
img (1086).JPG,108.4571531,0.214973525,131.0734799,0.259801472,139.6666456,0.276834034,97.00149403,0.1922672,136.091038,0.269746802,128.9468895,0.255586345,2150.163602,4.261851212
,,,,,,,,,,,,,,
img (1088).JPG,85.00715716,0.168493158,89.80458447,0.178002165,85.64450197,0.169756443,82.57297756,0.163668357,85.84296327,0.170149814,81.25593577,0.161057841,1505.152389,2.983370905
,,,,,,,,,,,,,,
img (1090).JPG,79.0097568,0.156605678,82.65225129,0.163825486,78.10558872,0.154813521,72.59750996,0.143895927,91.31031908,0.18098669,80.62636575,0.159809967,1559.268281,3.090634316
,,,,,,,,,,,,,,
img (1092).JPG,95.87793959,0.190040196,120.554931,0.238952598,121.9789561,0.241775166,97.08752659,0.192437725,129.3583691,0.256401942,124.4532855,0.246679548,2216.224197,4.392790284
,,,,,,,,,,,,,,
img (1094).JPG,101.8870884,0.201950963,132.486684,0.262602592,128.2065337,0.254118882,90.54666102,0.179473039,133.2779084,0.264170882,125.4891252,0.248732692,2409.354806,4.775595535
,,,,,,,,,,,,,,
img (1096).JPG,101.5759102,0.201334176,116.8715017,0.231651652,122.5274431,0.242862325,100.3860129,0.198975673,128.7905488,0.255276462,111.5752105,0.221153844,2137.767152,4.237280139
,,,,,,,,,,,,,,
img (1098).JPG,113.3679731,0.224707289,125.1943169,0.24814835,130.9439525,0.259544735,108.6427684,0.215341434,131.8882985,0.261416529,132.0290117,0.261695437,2255.948432,4.471527909
,,,,,,,,,,,,,,
img (1100).JPG,101.2252708,0.200639171,119.9551314,0.237763732,111.4445458,0.220894853,91.99862209,0.18235098,103.2252138,0.204603269,109.1060053,0.216259619,1952.494902,3.870050984
,,,,,,,,,,,,,,
img (1102).JPG,103.0446591,0.204245391,126.0939448,0.249931508,118.0905495,0.234067934,96.37803868,0.191031445,130.1040527,0.257879965,113.7263633,0.225417656,2214.873902,4.390113855
,,,,,,,,,,,,,,
img (1105).JPG,89.67935272,0.177753943,123.0369144,0.243872151,128.6950105,0.255087095,112.8907908,0.223761463,120.9354816,0.239706889,128.7379121,0.25517213,2153.114963,4.267701121
,,,,,,,,,,,,,,
img (1107).JPG,95.20463418,0.188705634,132.5990047,0.262825223,131.5084066,0.260663543,81.97972535,0.162492469,134.5918141,0.266775182,122.6992141,0.243202793,1978.471175,3.921538698
,,,,,,,,,,,,,,
img (1109).JPG,107.3178523,0.212715311,132.9019743,0.263425741,128.5704272,0.254840157,102.4332004,0.203033415,136.4741846,0.270506239,1810.273771,3.588153691,,
,,,,,,,,,,,,,,
img (1112).JPG,107.284414,0.212649033,136.9546522,0.271458576,143.2941683,0.284024166,116.4533692,0.230822869,138.344373,0.27421315,148.9078823,0.29515114,2158.494488,4.278363906
,,,,,,,,,,,,,,
img (1114).JPG,110.0796183,0.218189422,131.5530228,0.260751977,148.8665357,0.295069187,111.7263751,0.221453468,140.3861917,0.27826025,143.4433284,0.284319818,2136.382448,4.23453551
,,,,,,,,,,,,,,
img (1117).JPG,71.90809192,0.142529428,95.94829791,0.190179654,76.51576177,0.151662316,77.30599376,0.153228639,86.31566517,0.171086759,81.69431307,0.161926751,1622.871538,3.216702685
,,,,,,,,,,,,,,
img (1122).JPG,65.16903424,0.129171905,78.18515227,0.154971224,74.65061272,0.147965394,69.32949091,0.137418369,87.37382805,0.17318415,70.37147445,0.13948369,1531.977154,3.03654042
,,,,,,,,,,,,,,
img (1124).JPG,112.3467018,0.222683021,130.7103191,0.259081649,139.2275536,0.275963707,95.18200753,0.188660785,134.8480315,0.267283032,125.9219977,0.249590691,,
,,,,,,,,,,,,,,
img (1125).JPG,,,,,,,,,,,,,2113.061816,4.188311556
,,,,,,,,,,,,,,
img (1127).JPG,91.34263732,0.181050748,111.4885603,0.220982094,125.8290868,0.249406531,92.41303484,0.183172389,126.4960853,0.250728593,101.8041636,0.201786598,,
,,,,,,,,,,,,,,
img (1128).JPG,,,,,,,,,,,,,2055.766247,4.074745689
,,,,,,,,,,,,,,
img (1133).JPG,115.489434,0.228912248,142.1257834,0.281708304,154.2259673,0.305692146,113.0923084,0.224160892,151.2374401,0.29976857,152.1985683,0.301673627,,
,,,,,,,,,,,,,,
img (1134).JPG,,,,,,,,,,,,,2293.137401,4.545240372
,,,,,,,,,,,,,,
img (1136).JPG,108.5884244,0.215233719,150.1966233,0.297705561,153.6098517,0.30447094,111.5176789,0.22103981,144.9009705,0.287209018,153.4582752,0.304170499,,
,,,,,,,,,,,,,,
img (1137).JPG,,,,,,,,,,,,,2339.082011,4.636307439
,,,,,,,,,,,,,,
img (1141).JPG,116.9514188,0.231810056,149.9564041,0.297229421,138.6554939,0.274829824,111.5805953,0.221164517,145.5082997,0.288412809,119.0769759,0.236023135,2312.626847,4.583870511
,,,,,,,,,,,,,,
img (1144).JPG,109.7958345,0.217626933,136.1671939,0.269897751,136.1260812,0.269816261,112.6243945,0.223233438,165.8803664,0.328792395,121.7888847,0.241398424,2268.554216,4.496513904
,,,,,,,,,,,,,,
img (1146).JPG,105.4261621,0.208965781,130.0297588,0.257732707,136.8241217,0.271199851,107.6132935,0.213300906,133.4506766,0.264513327,129.3427028,0.256370889,,
,,,,,,,,,,,,,,
img (1147).JPG,,,,,,,,,,,,,2429.2183,4.814967076
,,,,,,,,,,,,,,
img (1150).JPG,116.8328749,0.23157509,130.1293628,0.257930132,133.8904178,0.26538494,94.67324083,0.187652356,134.8863214,0.267358926,141.1144861,0.279703806,2252.083331,4.463866873
,,,,,,,,,,,,,,
img (1153).JPG,116.4479928,0.230812213,128.2294868,0.254164378,127.8948821,0.253501156,110.3614835,0.218748109,131.393924,0.260436626,124.861771,0.247489209,2349.925144,4.657799672
,,,,,,,,,,,,,,
img (1155).JPG,110.8299185,0.219676597,131.7930358,0.261227708,142.879029,0.283201316,106.3302527,0.210757784,137.2237594,0.271991975,143.1579853,0.283754237,2202.565382,4.36571707
,,,,,,,,,,,,,,
img (1162).JPG,98.58179991,0.195399533,128.5417485,0.254783313,141.2789651,0.280029821,100.1907381,0.198588618,124.2597751,0.24629599,144.695547,0.286801847,2060.978068,4.08507607
,,,,,,,,,,,,,,
